zip,type,primary_city,latitude,longitude,irs_estimated_population_2014
75425,PO BOX,Chicota,33.86,-95.57,137
75426,STANDARD,Clarksville,33.61,-95.05,4060
75428,STANDARD,Commerce,33.23,-95.9,6570
75429,PO BOX,Commerce,33.23,-95.9,999
75431,STANDARD,Como,33.06,-95.47,1840
75432,STANDARD,Cooper,33.37,-95.69,2720
75433,STANDARD,Cumby,33.13,-95.83,2260
75434,PO BOX,Cunningham,33.42,-95.35,92
75435,STANDARD,Deport,33.48,-95.32,840
75436,STANDARD,Detroit,33.66,-95.26,1760
75437,STANDARD,Dike,33.26,-95.47,990
75438,STANDARD,Dodd City,33.57,-96.07,950
75439,STANDARD,Ector,33.57,-96.27,810
75440,STANDARD,Emory,32.87,-95.76,5300
75441,PO BOX,Enloe,33.43,-95.65,109
75442,STANDARD,Farmersville,33.16,-96.35,8350
75443,PO BOX,Gober,33.46,-96.1,108
75444,PO BOX,Golden,32.72,-95.56,483
75446,STANDARD,Honey Grove,33.58,-95.9,2970
75447,STANDARD,Ivanhoe,33.71,-96.14,900
75448,STANDARD,Klondike,33.32,-95.75,520
75449,STANDARD,Ladonia,33.42,-95.94,860
75450,STANDARD,Lake Creek,33.4,-95.48,200
75451,STANDARD,Leesburg,32.96,-95.1,1040
75452,STANDARD,Leonard,33.38,-96.24,3970
75453,STANDARD,Lone Oak,32.99,-95.94,2930
75454,STANDARD,Melissa,33.28,-96.57,8600
75455,STANDARD,Mount Pleasant,33.16,-94.97,25590
75456,PO BOX,Mount Pleasant,33.16,-94.97,2288
75457,STANDARD,Mount Vernon,33.17,-95.22,5610
75458,PO BOX,Merit,33.21,-96.28,353
75459,STANDARD,Howe,33.51,-96.61,4030
75460,STANDARD,Paris,33.66,-95.54,18290
75461,PO BOX,Paris,33.66,-95.54,1348
75462,STANDARD,Paris,33.62,-95.49,10130
75468,STANDARD,Pattonville,33.56,-95.39,830
75469,STANDARD,Pecan Gap,33.43,-95.85,300
75470,STANDARD,Petty,33.61,-95.79,208
75471,STANDARD,Pickton,33.06,-95.37,1230
75472,STANDARD,Point,32.93,-95.87,2830
75473,STANDARD,Powderly,33.77,-95.53,3180
75474,STANDARD,Quinlan,32.9,-96.13,12340
75475,PO BOX,Randolph,33.47,-96.24,233
75476,STANDARD,Ravenna,33.71,-96.24,1050
75477,STANDARD,Roxton,33.54,-95.72,720
75478,STANDARD,Saltillo,33.19,-95.34,820
75479,STANDARD,Savoy,33.59,-96.36,1430
75480,STANDARD,Scroggins,33.02,-95.2,1250
75481,STANDARD,Sulphur Bluff,33.33,-95.36,320
75482,STANDARD,Sulphur Springs,33.14,-95.61,21780
75483,PO BOX,Sulphur Springs,33.14,-95.61,1115
75485,PO BOX,Westminster,33.35,-96.45,314
75486,STANDARD,Sumner,33.77,-95.71,2300
75487,STANDARD,Talco,33.36,-95.1,1180
75488,STANDARD,Telephone,33.8,-96,940
75489,PO BOX,Tom Bean,33.52,-96.48,1249
75490,STANDARD,Trenton,33.42,-96.33,2150
75491,STANDARD,Whitewright,33.51,-96.39,4230
75492,STANDARD,Windom,33.56,-95.99,470
75493,PO BOX,Winfield,33.15,-95.11,680
75494,STANDARD,Winnsboro,32.95,-95.28,8940
75495,STANDARD,Van Alstyne,33.41,-96.57,7180
75496,STANDARD,Wolfe City,33.36,-96.06,2730
75497,STANDARD,Yantis,32.93,-95.57,2860
75501,STANDARD,Texarkana,33.44,-94.07,29880
75503,STANDARD,Texarkana,33.51,-94.13,22290
75504,PO BOX,Texarkana,33.44,-94.07,714
75505,PO BOX,Texarkana,33.44,-94.07,1626
75507,UNIQUE,Texarkana,33.44,-94.07,0
75550,STANDARD,Annona,33.58,-94.91,660
75551,STANDARD,Atlanta,33.11,-94.16,9330
75554,STANDARD,Avery,33.55,-94.77,1410
75555,STANDARD,Bivins,32.95,-94.14,1220
75556,STANDARD,Bloomburg,33.13,-94.05,1140
75558,STANDARD,Cookville,33.18,-94.86,1320
75559,STANDARD,De Kalb,33.5,-94.61,4920
75560,STANDARD,Douglassville,33.19,-94.35,890
75561,STANDARD,Hooks,33.52,-94.28,4640
75562,PO BOX,Kildare,32.93,-94.25,96
75563,STANDARD,Linden,33.01,-94.36,3360
75564,PO BOX,Lodi,32.86,-94.3,148
75565,PO BOX,Mc Leod,32.93,-94.08,602
75566,STANDARD,Marietta,33.17,-94.54,550
75567,STANDARD,Maud,33.33,-94.34,3400
75568,STANDARD,Naples,33.2,-94.67,2340
75569,STANDARD,Nash,33.44,-94.12,3130
75570,STANDARD,New Boston,33.46,-94.41,7800
75571,STANDARD,Omaha,33.17,-94.74,2380
75572,STANDARD,Queen City,33.14,-94.15,3060
75573,PO BOX,Redwater,33.35,-94.25,1027
